filename,coverage_fraction
3FO4IDSR3DHP_915952_empty_1.jpg,0.000000
3FO4IEBLH5IK_857_empty_1.jpg,0.000000
3FO4IELTTJPN_354_empty_1.jpg,0.000000
3FO4IELTTJPN_6915_empty_1.jpg,0.000000
3FO4IFYDNJDT_1020_empty_1.jpg,0.000000
3FO4IFYDNJDT_1138_empty_1.jpg,0.000000
3FO4IFYDNJDT_1361_empty_1.jpg,0.000000
3FO4IFYHDQSR_343_empty_1.jpg,0.000000
3FO4IH2H82VV_176_empty_1.jpg,0.000000
3FO4IH2H82VV_246_empty_1.jpg,0.000000
3FO4IH7OXXHP_5595_empty_1.jpg,0.000000
3FO4IH8GBF0L_490_empty_1.jpg,0.000000
3FO4IHNTIPJB_1061_empty_1.jpg,0.000000
3FO4IHNTIPJB_998_empty_1.jpg,0.000000
3FO4IHQF6Y0C_268_empty_1.jpg,0.000000
3FO4IIO854DI_13829_empty_1.jpg,0.000000
3FO4IIO854DI_1945_empty_1.jpg,0.000000
3FO4IIO854DI_2410_empty_1.jpg,0.000000
3FO4IIO854DI_2578_empty_1.jpg,0.000000
3FO4IIQ288TD_1755_empty_1.jpg,0.000000
3FO4IIQ288TD_3603_empty_1.jpg,0.000000
3FO4IIQ288TD_963_empty_1.jpg,0.000000
3FO4IIUPM65Q_694963_empty_1.jpg,0.000000
3FO4IIUPM65Q_701558_empty_1.jpg,0.000000
3FO4IIUQTO3G_153_empty_1.jpg,0.000000
3FO4IIUQTO3G_239_empty_1.jpg,0.000000
3FO4IIUQTO3G_596_empty_1.jpg,0.000000
3FO4IIWBAH1F_557463_empty_1.jpg,0.000000
3FO4IIWBAH1F_558087_empty_1.jpg,0.000000
3FO4IIWRJQYO_269_empty_1.jpg,0.000000
3FO4IIWRJQYO_388_empty_1.jpg,0.000000
3FO4IIWRJQYO_570_empty_1.jpg,0.000000
3FO4IIWRJQYO_7481_empty_1.jpg,0.000000
3FO4IIWRJQYO_7801_empty_1.jpg,0.000000
3FO4IIX4QBH9_110_empty_1.jpg,0.000000
3FO4IJ2EYRAW_1181_empty_1.jpg,0.000000
3FO4IJ2EYRAW_2287_empty_1.jpg,0.000000
3FO4IJ2EYRAW_7783_empty_1.jpg,0.000000
3FO4IJ2Q7S6G_834235_empty_1.jpg,0.000000
3FO4IJ2Q7S6G_834484_empty_1.jpg,0.000000
3FO4IJ2Q7S6G_834539_empty_1.jpg,0.000000
3FO4IJ4E4PVN_350_empty_1.jpg,0.000000
3FO4IJ4E4PVN_413_empty_1.jpg,0.000000
3FO4IJ5LIJTF_2751_empty_1.jpg,0.000000
3FO4IJ6XFKVI_139_empty_1.jpg,0.000000
3FO4IJKIM4CJ_310370_empty_1.jpg,0.000000
3FO4IJKIM4CJ_67755_empty_1.jpg,0.000000
3FO4IJKIM4CJ_67756_empty_1.jpg,0.000000
3FO4IJKIM4CJ_67758_empty_1.jpg,0.000000
3FO4IJQ4QHBH_749_empty_1.jpg,0.000000
3FO4IK5CFRP4_208_empty_1.jpg,0.000000
3FO4IKHO5QH3_14966_empty_1.jpg,0.000000
3FO4IKJPYSKY_904122_empty_1.jpg,0.000000
3FO4IKJPYSKY_904614_empty_1.jpg,0.000000
3FO4IL22B25N_6388_empty_1.jpg,0.000000
3FO4ILD5BSQA_3945_empty_1.jpg,0.000000
3FO4ILD5BSQA_6388_empty_1.jpg,0.000000
3FO4IMSLO1RL_1488315869_empty_1.jpg,0.000000
3FO4IMSLO1RL_1488316367_empty_1.jpg,0.000000
3FO4IN1U0PPQ_426431_empty_1.jpg,0.000000
3FO4IN1U0PPQ_426504_empty_1.jpg,0.000000
3FO4IN1U0PPQ_426574_empty_1.jpg,0.000000
3FO4IN1V85BF_2931_empty_1.jpg,0.000000
3FO4IN1V85BF_3078_empty_1.jpg,0.000000
3FO4IN5Y3JUW_296365_empty_1.jpg,0.000000
3FO4IN6TEJP8_293685_empty_1.jpg,0.000000
3FO4INEWRGIE_266_empty_1.jpg,0.000000
3FO4INI7H9E4_95357_empty_1.jpg,0.000000
3FO4INI7H9E4_95361_empty_1.jpg,0.000000
3FO4INJS7R6G_233_empty_1.jpg,0.000000
3FO4INRUC7LM_1608_empty_1.jpg,0.000000
3FO4INSX5PUG_143_empty_1.jpg,0.000000
3FO4INSX5PUG_452_empty_1.jpg,0.000000
3FO4INSX5PUG_688_empty_1.jpg,0.000000
3FO4IO3X58CX_5046_empty_1.jpg,0.000000
3FO4IO7I0OQ1_834484_empty_1.jpg,0.000000
3FO4IO7MN0MK_641547_empty_1.jpg,0.000000
3FO4IO9FDQM9_232_empty_1.jpg,0.000000
